career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,skills_parsed,skills_count,related_skills_parsed,matched_score,job_target,min_years_exp_req,match_category,degree_first,major_first,position_last,overlap_with_job_skills,kkni_level_inferred
"Enthusiastic, knowledgeable professional with experience and proven success in program and project management, online and instructor led design, development and facilitation. Outstanding problem-solving skills, as proven through implementation of accounting software packages, significantly improving billing and reporting processes. Excellent management skills, encouraging career growth of subordinates through additional training and opportunities. Keep up-to-date with industry changes through professional affiliation.","['Microsoft Office Suite', 'VideoScribe Software', 'PeopleSoft Finance Applications', 'Accounting', 'billing', 'Change Management', 'contracts', 'Client Relations', 'Database', 'delivery', 'Eclipse', 'Finance', 'financial reporting', 'financial statements', 'Front Office', 'hiring', 'instructor', 'Instructional Design', 'Leadership training', 'logistics', 'managing', 'needs analysis', 'payables', 'PeopleSoft HRMS', 'PeopleSoft', 'personnel', 'Program Management', 'Project Management', 'project plans', 'Teaching', 'training materials', 'training design and development', 'training material', 'training programs', 'upgrade', 'view']","['CALIFORNIA STATE UNIVERSITY, HAYWARD', 'UNIVERSITY OF MARYLAND, COLLEGE PARK', 'COLLEGE OF ARTS, SCIENCE, AND TECHNOLOGY']","['Master of Science', 'Bachelor of Science', 'Bachelor of Science']","['2003', '1993', '1983']","['4.0', None, None]","['GPA', None, None]","['Education with an option in Online Teaching and Learning', 'Accounting', 'Business Administration']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['January 1995', 'January 2003', 'January 1993']","['Current', 'January 2004', 'January 1995']","[['Project Management', 'Training Facilitation', 'Instructional Design', 'Development', 'client relations', 'program management', 'accounting'], ['Instructional Design', 'Training Management', 'Database Management'], ['Online Course Instruction']]","['Senior Manager', 'Instructional Designer/Training Manager/Database Manager/Senior Accountant', 'Online Course Instructor']","['City, State', 'City, State', 'City, State']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","['microsoft office suite', 'videoscribe software', 'peoplesoft finance applications', 'accounting', 'billing', 'change management', 'contracts', 'client relations', 'database', 'delivery', 'eclipse', 'finance', 'financial reporting', 'financial statements', 'front office', 'hiring', 'instructor', 'instructional design', 'leadership training', 'logistics', 'managing', 'needs analysis', 'payables', 'peoplesoft hrms', 'peoplesoft', 'personnel', 'program management', 'project management', 'project plans', 'teaching', 'training materials', 'training design and development', 'training material', 'training programs', 'upgrade', 'view']",36,"['training management', 'training facilitation', 'online course instruction', 'accounting', 'program management', 'client relations', 'development', 'instructional design', 'database management', 'project management']",0.75,Mechanical Designer,5.0,High Match,Master of Science,Education with an option in Online Teaching and Learning,Senior Manager,0,7.0
,"['R', 'Python', 'Tableau', 'Power BI', 'SQL', 'SAS', 'Deep Learning', 'Neural Networks', 'Artificial Intelligence']",['NARSEE MONJEE INSTITUTE'],['BCA'],['2020'],['N/A'],['N/A'],['N/A'],['DENA FUNDS'],['N/A'],['APR 2020'],['TILL DATE'],"[['predictive data analysis', 'large scale data handling']]",['BUSINESS ANALYST'],['N/A'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","['r', 'python', 'tableau', 'power bi', 'sql', 'sas', 'deep learning', 'neural networks', 'artificial intelligence']",9,"['predictive data analysis', 'large scale data handling']",0.65,Asst. Manager/ Manger (Administrative),5.0,Mid Match,BCA,N/A,BUSINESS ANALYST,3,7.0
,"['Data Analytics', 'Linear Regression', 'Logistic Regression', 'Business Intelligence', 'Business Analysis', 'GraphQL', 'Python']",['Raja Kashwant Singh General College'],['B.A'],['2020'],['N/A'],['N/A'],['Economics'],"['D&D Consultancy', 'Tanisha Quromba Brokerage']","['N/A', 'N/A']","['Jul 2020', 'Dec 2019']","['till date', 'May 2020']","[None, None]","['Associate Consultant', 'Junior Analyst Intern']","['N/A', 'N/A']","Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","['data analytics', 'linear regression', 'logistic regression', 'business intelligence', 'business analysis', 'graphql', 'python']",7,[],0.65,Machine Learning (ML) Engineer,5.0,Mid Match,B.A,Economics,Associate Consultant,1,7.0
"Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.","['C', 'C++', 'Python', 'JAVA', 'HTML', 'CSS', 'JavaScript', 'Data Structures', 'SQL', 'PyCharm', 'Jupyter Notebook', 'Google Colab', 'Code Blocks', 'MATLAB', 'Turbo C++', 'MS Office', 'Scikit-Learn', 'TensorFlow', 'OpenCV', 'NumPy', 'Pytesseract', 'Keras']","['Dayalbagh Educational Institute, Dayalbagh, Agra', ""St. Clare's Senior Secondary School, Agra"", ""St. Clare's Senior Secondary School, Agra""]","['B.Tech. (Electrical Engineering Specialization in Computer Science)', 'XII', 'X']","['2023', '2019', '2017']","['9.35 (Till 4 semesters)', '94%', '10']","['CGPA', 'Percentage', 'CGPA']","['Electrical Engineering Specialized in Computer Science', 'N/A', 'N/A']","['Genisup India Pvt. Ltd.', 'VUGS Technologies']","[None, None]","['July 2021', 'May 2021']","['Aug 2021', 'June 2021']","[['NLP', 'Web Scraping', 'bs4', 'LDA Topic Modeling'], ['OCR', 'Pytesseract', 'NER Text Classification']]","['Intern', 'Intern']","['N/A', 'N/A']","Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","['c', 'c++', 'python', 'java', 'html', 'css', 'javascript', 'data structures', 'sql', 'pycharm', 'jupyter notebook', 'google colab', 'code blocks', 'matlab', 'turbo c++', 'ms office', 'scikit-learn', 'tensorflow', 'opencv', 'numpy', 'pytesseract', 'keras']",22,"['ner text classification', 'bs4', 'web scraping', 'pytesseract', 'lda topic modeling', 'nlp', 'ocr']",0.316666667,Mechanical Designer,5.0,Low Match,B.Tech. (Electrical Engineering Specialization in Computer Science),Electrical Engineering Specialized in Computer Science,Intern,2,7.0
"Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer.","['Java', 'Spring', 'Javascript', 'CSS', 'HTML', 'REST APIs', 'React Native', 'Kotlin', 'PostgreSQL', 'MySQL']",['University of Santa Clara'],['Bachelor of Science'],['current'],['3.6'],['GPA'],['Computer Science'],"['Genesis10', 'Novalsys, Inc']","[None, None]","['May 2021', 'January 2021']","['current', 'May 2021']","[['Java', 'Kotlin', 'Android Development', 'Performance Monitoring', 'Quality Assurance', 'Problem Solving', 'Team Collaboration'], ['Android Development', 'Bug Fixing', 'Performance Improvement', 'Cross-Functional Collaboration', 'Data Integrity', 'Feature Development']]","['Android Developer Intern', 'Android Developer Intern']","['San Jose, CA', 'Milpitas, CA']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['java', 'spring', 'javascript', 'css', 'html', 'rest apis', 'react native', 'kotlin', 'postgresql', 'mysql']",10,"['performance monitoring', 'kotlin', 'feature development', 'java', 'performance improvement', 'android development', 'problem solving', 'bug fixing', 'cross-functional collaboration', 'quality assurance', 'team collaboration', 'data integrity']",0.583333333,Mechanical Engineer,2.0,Mid Match,Bachelor of Science,Computer Science,Android Developer Intern,1,6.0
,"['Machine Learning', 'Method Development', 'Artificial Intelligence', 'Data Modeling', 'Data Visualization', 'Data Validation', 'Deep Learning', 'MySQL', 'MongoDB', 'Python', 'Plotly', 'Seaborn', 'Matplotlib']",['CDAC ACTS'],['B.Tech'],['2020'],['N/A'],['N/A'],['Electronics and Telecommunication'],['BlueM Solutions'],[None],['Jun 2020'],['till date'],"[['Machine Learning', 'Python']]",['Associate Software Engineer and Analyst'],['N/A'],"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","['machine learning', 'method development', 'artificial intelligence', 'data modeling', 'data visualization', 'data validation', 'deep learning', 'mysql', 'mongodb', 'python', 'plotly', 'seaborn', 'matplotlib']",13,"['python', 'machine learning']",0.85,Database Administrator (DBA),1.0,High Match,B.Tech,Electronics and Telecommunication,Associate Software Engineer and Analyst,4,5.0
,"['budget', 'hardware', 'network systems', 'database', 'Dec', 'documentation', 'inspection', 'logistics', 'meetings', 'MS Excel', 'Microsoft Office', 'Outlook', 'PowerPoint', 'network', 'networking', 'Operating Systems', 'Oracle', 'personnel', 'presentations', 'progress', 'quality', 'Maintain documentation', 'routers', 'safety', 'scheduling', 'shipping', 'spreadsheets', 'supervision']",['University of Phoenix Texas'],['Business Administration'],['2019'],['N/A'],['N/A'],['Business Administration'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","['N/A', 'N/A', 'N/A', 'N/A']","['01/2014', '12/2012', '01/2011', '07/2004']","['Current', None, '12/2013', '12/2010']","[['MS Excel', 'PowerPoint', 'Oracle'], ['networking'], ['documentation', 'shipping', 'production'], ['Microsoft Office', 'database', 'network systems', 'production']]","['Engineering Technician', 'Consultant', 'Engineering Technician', 'Manufacturing Lead']","['City, State', 'City, State', 'City, State', 'City, State']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","['budget', 'hardware', 'network systems', 'database', 'dec', 'documentation', 'inspection', 'logistics', 'meetings', 'ms excel', 'microsoft office', 'outlook', 'powerpoint', 'network', 'networking', 'operating systems', 'oracle', 'personnel', 'presentations', 'progress', 'quality', 'maintain documentation', 'routers', 'safety', 'scheduling', 'shipping', 'spreadsheets', 'supervision']",28,"['network systems', 'database', 'powerpoint', 'shipping', 'microsoft office', 'networking', 'oracle', 'production', 'documentation', 'ms excel']",0.85,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",4.0,High Match,Business Administration,Business Administration,Engineering Technician,0,6.0
"Machine Learning Engineer seeking assignments Deep Learning, Reinforcement Learning, Tensorflow. Keras.","['Artificial Intelligence', 'Deep Learning', 'Reinforcement Learning', 'Tensorflow Keras', 'Scikit learn', 'Numpy', 'Pandas', 'Matplotlib']","['IIIT D&M Kancheepuram, Chennai']",['B.Tech(IT)'],['2019'],['N/A'],['N/A'],['Information Technology'],['Larsen & Toubro'],['N/A'],['Dec 2019'],['Till Date'],"[['OCR', 'Machine Learning']]",['Analyst Intern'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","['artificial intelligence', 'deep learning', 'reinforcement learning', 'tensorflow keras', 'scikit learn', 'numpy', 'pandas', 'matplotlib']",8,"['machine learning', 'ocr']",0.626666667,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3.0,Mid Match,B.Tech(IT),Information Technology,Analyst Intern,1,6.0
"Soon-to-be Computer Science graduate eager to continue exploring the inspiring, innovative field of Android Development. As a seasoned intern, I am looking to join an Android Development team with AT&T as a junior developer.","['Java', 'Spring', 'Javascript', 'CSS', 'HTML', 'REST APIs', 'React Native', 'Kotlin', 'PostgreSQL', 'MySQL']",['University of Santa Clara'],['Bachelor of Science'],['current'],['3.6'],['GPA'],['Computer Science'],"['Genesis10', 'Novalsys, Inc']","[None, None]","['May 2021', 'January 2021']","['current', 'May 2021']","[['Java', 'Kotlin', 'Android Development', 'Performance Monitoring', 'Quality Assurance', 'Problem Solving', 'Team Collaboration'], ['Android Development', 'Bug Fixing', 'Performance Improvement', 'Cross-Functional Collaboration', 'Data Integrity', 'Feature Development']]","['Android Developer Intern', 'Android Developer Intern']","['San Jose, CA', 'Milpitas, CA']","Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","['java', 'spring', 'javascript', 'css', 'html', 'rest apis', 'react native', 'kotlin', 'postgresql', 'mysql']",10,"['performance monitoring', 'kotlin', 'feature development', 'java', 'performance improvement', 'android development', 'problem solving', 'bug fixing', 'cross-functional collaboration', 'quality assurance', 'team collaboration', 'data integrity']",0.333333333,Project Coordinator (Civil),5.0,Low Match,Bachelor of Science,Computer Science,Android Developer Intern,1,7.0
,"['Machine learning', 'Data Science', 'Deep Learning', 'Decision Trees', 'Random Forest', 'XGBoost', 'CATBoost', 'Classification', 'Regression', 'Scikit Learn', 'Numpy', 'Pandas', 'OpenCV', 'Python', 'Matplotlib', 'Loss Optimization']","['Raja Birsimbal College, Ranchi']",['B.Tech'],['2019'],['N/A'],['N/A'],['CSE'],['TML Infotech'],['N/A'],['Mar 2019'],['till date'],"[['Machine learning', 'Deep Learning', 'Data Science']]",['Junior Machine Learning And Deep Learning Engineer'],['N/A'],"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support","['machine learning', 'data science', 'deep learning', 'decision trees', 'random forest', 'xgboost', 'catboost', 'classification', 'regression', 'scikit learn', 'numpy', 'pandas', 'opencv', 'python', 'matplotlib', 'loss optimization']",16,"['deep learning', 'data science', 'machine learning']",0.65,Executive/ Sr. Executive -IT,3.0,Mid Match,B.Tech,CSE,Junior Machine Learning And Deep Learning Engineer,3,6.0
,"['Aderant/CMS', 'Excel', 'QuickBooks Pro', 'SQL', 'Access', 'Peachtree', 'Hyperion Essbase', 'Financial reporting', 'US GAAP principles', 'IFRS', 'Bookkeeping', 'Budget development', 'Individual tax returns']",['TEMPLE UNIVERSITY'],['Bachelor of Business Administration'],['2002'],[None],[None],['Accounting'],"['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['Mar 2006', 'Jan 2005', 'Aug 2002']","['Current', 'Mar 2006', 'Jan 2005']","[None, None, None]","['Senior Accountant', 'Accountant', 'Financial Analyst']","['City , State', 'City , State', 'City , State']","Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","['aderant/cms', 'excel', 'quickbooks pro', 'sql', 'access', 'peachtree', 'hyperion essbase', 'financial reporting', 'us gaap principles', 'ifrs', 'bookkeeping', 'budget development', 'individual tax returns']",13,[],0.2166666666666666,Mechanical Engineer,2.0,Low Match,Bachelor of Business Administration,Accounting,Senior Accountant,1,6.0
"To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gained through experience and college, as well as to acquire new insight through experience and application.","['ArcView', 'AutoCad', 'Drafting', 'GPS', 'graphic', 'Inspection', 'Microsoft Access', 'Microstation', 'File Maintenance', 'repairs', 'supervision', 'surveys', 'utilities']","['University of Northern Iowa', 'Hawkeye Community College']","['BS', 'AAS']","['May 2004', 'May 1998']","['N/A', 'N/A']","[None, None]","['Construction Management', 'Civil and Construction Engineering Technology']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['August 2007', 'April 2006', 'May 1998']","['Current', 'August 2007', 'April 2006']","[['Design', 'Drafting', 'Microstation', 'GeoPak', 'ArcView', 'Microsoft Access', 'survey', 'Trimble GPS', 'Topcon Total Station', 'File Maintenance'], ['TOPO graphic surveys', 'land surveys', 'construction surveys', 'Ashtec GPS', 'Trimble 5600 Total Station', 'AutoCad', 'Eagle Point'], ['surveying', 'Trimble GPS', 'Geodimeter total station', 'Environmental Sampling', 'Construction Inspection', 'stream gauging', 'Microstation']]","['Engineering Technician', 'Senior Engineering Technician', 'Engineering Technician']","['City , State', 'City , State', 'City , State']","Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","['arcview', 'autocad', 'drafting', 'gps', 'graphic', 'inspection', 'microsoft access', 'microstation', 'file maintenance', 'repairs', 'supervision', 'surveys', 'utilities']",13,"['file maintenance', 'surveying', 'geodimeter total station', 'trimble gps', 'construction surveys', 'arcview', 'drafting', 'environmental sampling', 'eagle point', 'trimble 5600 total station', 'topcon total station', 'ashtec gps', 'microstation', 'stream gauging', 'design', 'geopak', 'land surveys', 'construction inspection', 'microsoft access', 'topo graphic surveys', 'autocad', 'survey']",0.85,Network Support Engineer,3.0,High Match,BS,Construction Management,Engineering Technician,0,6.0
Extremely motivated to constantly develop my skills and grow professionally. I am confident in my ability to come up with innovative solutions and maintain better software development practices.,"['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['V.V.I.T'],['B.TECH'],['2018'],['N/A'],['N/A'],['N/A'],['ACS Solutions Pvt. Ltd.'],['N/A'],['May 2018'],['Ongoing'],"[['Machine Learning', 'React', 'MQTT', 'Cloud']]",['SOFTWARE ENGINEER - MACHINE LEARNING'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","['python', 'machine learning', 'deep learning', 'data analysis', 'computer vision', 'aws', 'scikit-learn', 'numpy', 'java', 'c++', 'sap']",11,"['mqtt', 'cloud', 'machine learning', 'react']",0.65,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",3.0,Mid Match,B.TECH,N/A,SOFTWARE ENGINEER - MACHINE LEARNING,3,6.0
"To obtain a position where Teamwork, Integrity and Professionalism are a high standard in the Company's Mission Statement. All while engaging in new challenges and learning experiences.","['Material Management', 'Law Enforcement', 'mechanical test equipment', ""PC's"", 'MS Office', '10key by touch', 'Customer Service', 'Forklift and Crane Certification', 'Self-motivation', 'Leadership', 'NDT Level II', 'mechanical theory', 'pneumatic and hydraulic theory', 'automation', 'closing', 'coaching', 'oral', 'hardware', 'customer support', 'designing', 'direction', 'hand tools', 'inventory', 'ISO 9001', 'Machinery', 'materials', 'mechanical', 'personnel', 'processes', 'Procurement', 'programming', 'progress', 'quality', 'Quality Control', 'Receiving', 'repairs', 'repairing', 'research', 'robotic systems', 'safety', 'scheduling', 'shipping', 'simulation', 'Supervisor', 'Test Equipment', 'Troubleshooting', 'written', 'articles']","['Monterey Peninsula College', 'San Francisco Police Academy']","['General Courses', 'Technical Diploma']","[None, None]","[None, None]","[None, None]","[None, None]","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None, None, None]","['05/2014', '04/2013', '11/2007', '10/2006', '11/2004', '07/2001']","[None, '05/2014', '06/2012', '11/2007', '05/2006', '02/2004']","[['designing', 'simulation', 'implementation', 'commission', 'programming', 'troubleshooting', 'maintenance', 'automation', 'electrical systems', 'direction', 'coaching', 'organization', 'communication', 'safety', 'technical problem solving', 'supervision', 'inventory management'], ['repair services', 'customer support', 'equipment installation', 'fire alarm systems', 'preventive maintenance'], ['facility operation', 'machinery maintenance', 'testing equipment', 'wind tunnels', 'mechanical modification', 'installation', 'system inspection', 'report generation'], ['logistics coordination', 'equipment maintenance', 'troubleshooting', 'inventory management', 'compliance'], ['materials expediting', 'configuration verification', 'problem solving', 'auditing', 'promis software', 'logistics'], ['production planning', 'materials management', 'schedule management', 'order management', 'communication']]","['Equipment Engineering Technician', 'Mechanical Technician', 'Operating Engineer / Test Technician', 'Logistics Coordinator / Sr. Lab Technician', 'Production Control Analyst', 'Material/Production Planner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'City, State']","Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration","['material management', 'law enforcement', 'mechanical test equipment', ""pc's"", 'ms office', '10key by touch', 'customer service', 'forklift and crane certification', 'self-motivation', 'leadership', 'ndt level ii', 'mechanical theory', 'pneumatic and hydraulic theory', 'automation', 'closing', 'coaching', 'oral', 'hardware', 'customer support', 'designing', 'direction', 'hand tools', 'inventory', 'iso 9001', 'machinery', 'materials', 'mechanical', 'personnel', 'processes', 'procurement', 'programming', 'progress', 'quality', 'quality control', 'receiving', 'repairs', 'repairing', 'research', 'robotic systems', 'safety', 'scheduling', 'shipping', 'simulation', 'supervisor', 'test equipment', 'troubleshooting', 'written', 'articles']",48,"['logistics coordination', 'coaching', 'communication', 'system inspection', 'inventory management', 'repair services', 'facility operation', 'organization', 'installation', 'equipment installation', 'wind tunnels', 'supervision', 'production planning', 'schedule management', 'direction', 'safety', 'configuration verification', 'materials expediting', 'auditing', 'machinery maintenance', 'problem solving', 'programming', 'report generation', 'order management', 'commission', 'designing', 'equipment maintenance', 'fire alarm systems', 'implementation', 'promis software', 'materials management', 'simulation', 'preventive maintenance', 'mechanical modification', 'compliance', 'testing equipment', 'automation', 'electrical systems', 'technical problem solving', 'logistics', 'troubleshooting', 'customer support', 'maintenance']",0.85,Intern (Generative AI Engineering - 2D/3D Image Generation),,High Match,General Courses,,Equipment Engineering Technician,0,
Expertise EDA modeler. I like to learn what my data contains and how well I can model it depending on the problem. I can also leverage different visualization tools to aid the understanding of the extracted data and finally use the required ML algorithm to get an outcome.,"['Data Analysis', 'Business Analysis', 'Machine Learning', 'Regression Analysis', 'Time Series Analysis', 'SQL', 'Base SAS', 'Python', 'NLP', 'Credit Risk', 'Tableau', 'Statistical Analysis', 'Data Visualization', 'Data Science', 'R', 'Power Bi']","['KVoCT, Pune', 'KVoCT, Pune']","['B.CA', 'M.CA']","['2018', '2020']","[None, None]","[None, None]","[None, None]",['Passionate Solution'],[None],['Feb 2020'],['Ongoing'],"[['EDA', 'Data Cleaning', 'Data Modeling']]",['Jr. Data Scientist'],[None],"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks","['data analysis', 'business analysis', 'machine learning', 'regression analysis', 'time series analysis', 'sql', 'base sas', 'python', 'nlp', 'credit risk', 'tableau', 'statistical analysis', 'data visualization', 'data science', 'r', 'power bi']",16,"['eda', 'data modeling', 'data cleaning']",0.65,Executive - VAT,1.0,Mid Match,B.CA,,Jr. Data Scientist,3,5.0
